"lat" "lon" "sal" "temp"
-64.078 175.821 -0.06995081 0.4100305
-63.76 162.917 -0.032093126 -0.25886796
-63.732 163.294 -0.00080631426 -0.11513621
-63.7 162.568 -0.020953422 -0.23789653
-63.269 169.623 0.040991484 0.33750475
-63.113 171.526 0.026940891 0.21455556
-62.871 170.504 0.16918687 -0.048340791
-62.661 168.78 0.13718342 0.16390691
-62.399 168.256 0.12139547 0.27408588
-61.55 167.21 0.12356244 -0.22638815
-61.206 166.925 0.041558747 -0.20144676
-61.198 166.037 0.075224764 -0.079405707
-60.948 168.157 0.1324351 -0.93871839
-60.844 167.261 0.11325617 -0.8876548
-60.79107 167.57889 0.13405399 -0.80099896
-60.76623 166.61356 0.079783143 -0.71657085
-60.731 166.428 0.066238231 -0.65847025
-59.25254 167.35324 -0.20615833 -1.1139914
-58.843 168.231 -0.059626277 -0.37884086
-58.80979 166.58627 -0.029270616 -0.066210694
-58.733 166.277 -0.1012302 -1.3815772
-58.542 164.491 -0.12006383 -0.11847681
-58.036 161.038 0.24187163 0.34843125
-57.999 167.207 -0.14779867 -1.878625
-57.979 164.906 -0.11024673 -0.49577166
-57.76 167.269 -0.023243308 0.040912455
-57.67585 168.1172 -0.1201939 -1.3268276
-57.614 168.922 0.29772544 2.9062613
-57.587 168.905 0.008932344 -0.098686569
-57.53016 168.7659 0.037739416 0.38140475
-57.33233 163.36289 -0.014730231 -0.00074403386
-57.255 164.473 0.0695342 3.0592989
-57.195 177.93 0.076771675 0.95839852
-57.11 178.416 0.032613908 0.85253313
-57.02369 164.33592 -0.11216175 -0.68788779
-56.914 164.18 -0.122448 -1.3348307
-56.781 177.702 0.068768199 0.58076727
-56.718 178.619 0.041215364 0.86083523
-56.71 168.639 0.053067806 0.90335462
-56.635 179.189 -0.013856943 0.083509795
-56.6033 173.89855 0.039585007 0.50096155
-56.46877 162.25728 -0.0034996298 -0.31968926
-56.439 178.262 0.0018536786 0.21437431
-56.41816 162.92265 -0.078533592 -0.85401246
-56.33231 163.83183 -0.096906478 -0.4688948
-56.15695 174.72593 0.070214327 0.69647652
-56.15193 169.39592 -0.093454636 -0.57369249
-56.02359 160.67333 0.072377023 -0.3512497
-55.935 177.753 0.018587356 0.31840701
-55.805 163.122 -0.07127897 -2.9154235
-55.748 166.064 0.20287362 1.8836194
-55.59838 170.4955 -0.070973325 -0.53111695
